video_id,video_length,view_count,likes,comments,shares,description,create_time,hashtag_count
6766526786273660165,12000,86800000,9200000,97800,266000,iconic @ondreazlopez_ @tonylopez__,1575454794,0
6766508963413429510,12000,43900000,4600000,27800,225200,the best duo @addisonre,1575450644,1
6766504518533336325,8000,40500000,4400000,26200,213900,@addisonre,1575449610,0
6766463020613815558,14000,23500000,2700000,12100,58600,@nicoannello @rylandstorms11,1575439947,0
6766456821906476294,57000,13100000,1700000,12600,24300,,1575438504,0
6766057582940392710,13000,30800000,3700000,24300,167600,,1575345547,0
6765995928701783301,12000,72800000,6400000,49100,296100,,1575331191,1
6765990600199245062,14000,23900000,2600000,16200,87200,@petroutv photo time,1575329950,0
6765976213149273349,9000,17500000,2000000,10900,18500,talk about a glow down,1575326600,0
6765942153639103749,15000,48400000,4600000,23400,210400,it’s a good day!,1575318669,0
6765940827396033798,15000,15500000,1700000,9917,66300,a lotta love a lotta hate #ghostchallenge #wittlowry #foryou #partner,1575318361,8
6765940666603162886,10000,22500000,2500000,32100,57000,THANK YOU GUYS FOR 1 MILLION ON INSTA ❤️❤️❤️,1575318323,0
