Video ID,Date Posted,Face Count,View Count
NC_Lo8nRqfA,2018-08-24,0,59317189
XoXMwHwlugE,2018-08-24,0,5973480
XqYdxi16K7U,2018-08-24,0,13206142
dyXhcS04MVY,2018-08-24,0,27637193
e95-Gaj2iXM,2018-08-24,0,10437878
gSsCZJM6OG0,2018-08-24,0,51943476
uDK32k8kDaQ,2018-08-24,0,17732696
uyWm8DUK06M,2018-08-24,0,7236970
w5_X-QFwmoo,2018-08-24,0,38792448
wIq2gPdj_68,2018-08-24,0,10820087
zz1MkneRm6A,2018-08-24,0,101893445
VMqDSntAbC0,2018-08-24,0,64012355
61Z4QfArPfM,2018-08-23,0,1361803
lvCB1SmzLW8,2018-08-23,0,8171713
4lZrw-5Kd6o,2018-08-23,0,327393
kCl11oLMlkM,2018-08-23,0,1221769
BRWdfx_Uiig,2018-08-23,0,137604
GsFvjsatO-k,2018-08-23,0,5460640
ag6UstUxxXc,2018-08-23,0,442281
BMgoOJa3MFU,2018-08-23,0,430467
VPCRkAo-Cc0,2018-08-23,0,675001
j2t929BCktU,2018-08-23,0,1296664
JGqBizMC_A4,2018-08-23,0,1320339
bf0cjpzXlg4,2018-08-23,0,5908292
s3Fs7dlZ7WY,2018-08-14,0,17897798
mebEDYl_mb0,2018-08-14,0,1062378
N2h8uhaDm2g,2018-08-14,0,1404266
vMRxHpcKjEY,2018-08-01,0,22337833
4MTKwoIsfhQ,2018-07-29,0,2563185
RFGBaANgQ9w,2018-07-29,0,6727627
kHI3VVlmpQg,2018-07-29,0,2514373
_mkeISN9vRY,2018-06-04,0,10905110
3J9G-PWo2oE,2018-05-28,0,49413088
EBf6lwkChnQ,2018-05-28,0,70570687
obH7iPDAn2Q,2018-05-28,0,37483444
38k5zr1e0HI,2018-05-28,0,116940070
lu0XVRP_Bfc,2018-05-28,0,34290020
639hc_F2TZU,2018-05-28,0,19804971
ITc-om9SVr4,2018-05-28,0,41603790
NT8ePWlgx_Y,2018-05-28,0,87395788
n_R0-YosZ3g,2018-05-28,0,77126688
qHfqRUzz02k,2018-05-28,0,10184248
zdLvqiOmWq4,2018-05-28,0,64052902
iefN_3a0Rqk,2018-05-02,0,16206472
n81ceM7rlaw,2018-05-02,0,34620201
VEZ_Ui6d9AM,2018-05-02,0,141300295
AEm5O3VnKi8,2018-05-02,0,68923144
