Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Beauty And A Beat,Believe,Justin Bieber,1/1/2012,3001,25.4,827079737,123017,74,1187480897,7482380
We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together,Taylor Swift,1/1/2012,3197,24.4,669895431,82898,67,909093534,5048332
Swimming Pools (Drank),good kid m.A.A.d city (Deluxe),Kendrick Lamar,1/1/2012,3227,24.2,731646994,157106,75,149345457,1143981
Limbo,Prestige,Daddy Yankee,1/1/2012,3400,23.5,508914869,86239,70,1529347092,6057759
Let Her Go,All The Little Lights,Passenger,1/1/2012,3534,22.9,2252713547,205647,73,423531195,4118839
Love Sosa,Finally Rich (Deluxe),Chief Keef,1/1/2012,3586,22.7,757522352,224483,74,101146931,1073571
Boyfriend,Believe,Justin Bieber,1/1/2012,3614,22.6,538918222,73149,70,992302781,6629367
Girl On Fire,NRJ Music Awards 2013,Alicia Keys,1/1/2012,3620,22.6,646295324,96138,71,719570982,5771711
Wide Awake,538 Hitzone 63,Katy Perry,1/1/2012,3681,22.3,447997798,47976,73,1129883893,5231385
Classic,MKTO,MKTO,1/1/2012,3922,21.6,1350428257,172980,78,343526777,3193437
I Won't Give Up,Chï¿½ï¿½rie Summer,Jason Mraz,1/1/2012,3925,21.5,850863163,91617,62,21096118,126444
Try,NRJ Hit List 2012 Vol 2,P!nk,1/1/2012,3955,21.5,662971898,94974,74,990716604,4801576
Pour It Up,Unapologetic (Edited Version),Rihanna,1/1/2012,3964,21.4,417616725,59548,64,498382704,2551106
Bitch Donï¿½ï¿½ï¿½t Kill M,good kid m.A.A.d city (Deluxe),Kendrick Lamar,1/1/2012,4037,21.2,721771477,182518,67,459189834,3603381
Cruise,Here's To The Good Times,Florida Georgia Line,1/1/2012,4210,20.6,455780340,62047,67,2801769,34063
Mercy,I Love R&B,Kanye West,1/1/2012,4326,20.2,396015053,93596,64,58003262,606430
Don't You Worry Child - Radio Edit,Until Now,Swedish House Mafia,1/1/2012,4557,19.5,1088273121,203395,76,20942928,209498
Let Her Go,Let Her Go,Passenger,7/27/2012,484,70.1,2252713547,84884,69,3967431755,18261574
Just Give Me a Reason,The Truth About Love,P!nk,9/14/2012,1627,36.3,1301573727,145608,78,1898440657,8070655
Skyfall - Full Length,Skyfall,Adele,10/4/2012,4159,20.8,694094195,116469,78,619905722,4186117
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,10/9/2012,1430,38.9,2397109372,287524,74,1554258622,11301317
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,10/9/2012,2795,26.5,1226381432,8351,46,1905103664,13003790
F**kin' Problems,F**kin' Problems,A$AP Rocky,10/24/2012,3138,24.6,803286487,157238,70,376403733,2672337
Gangsta's Paradise (feat. L.V.),Get Ur Freak On - R&B Anthems,Coolio,11/16/2012,4254,20.5,1666699743,183,,1537876575,12732846
Scream & Shout,Scream & Shout,will.i.am,11/20/2012,2821,26.3,767661283,177756,72,1211548500,6168792
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/2012,4187,20.7,2106040891,231184,81,275768987,2172034
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,1/1/2013,374,79.5,759374819,64239,69,4168791151,11589558
Wake Me Up,TRUE,Avicii,1/1/2013,436,73.7,2325017580,347004,81,3214634614,17924466
"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams,1/1/2013,476,70.4,1379786786,204118,75,1307002701,8641116
Roar,2013 The Hottest,Katy Perry,1/1/2013,725,56.9,1156191242,146653,73,4386626671,19822950
Counting Stars,Native (Standard),OneRepublic,1/1/2013,892,51.1,2466006842,343135,81,304524339,2956756
Photograph,x (Wembley Edition),Ed Sheeran,1/1/2013,980,48.8,2525355904,208671,77,1884843329,9916244
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,1223,42.8,2541833602,369150,80,533440453,4627060
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/2013,1316,41,930004605,113036,73,1694450676,11543620
Pompeii,Bad Blood (The Extended Cut),Bastille,1/1/2013,1434,38.9,1590278292,259895,71,892426661,6706344
Mirrors,Songs For The Philippines,Justin Timberlake,1/1/2013,1487,38,1047154254,168622,74,1401802614,7138440
Do I Wanna Know?,AM,Arctic Monkeys,1/1/2013,1837,33.9,2188592950,361827,81,457550865,4610448
Latch,Settle,Disclosure,1/1/2013,1933,32.9,1017438306,174201,71,569083040,3417150
We Can't Stop,NOW: The Hits Of Summer 2014,Miley Cyrus,1/1/2013,2003,32.2,970858824,117008,71,1310779877,7274419
Rather Be (feat. Jess Glynne),I Cry When I Laugh,Clean Bandit,1/1/2013,2236,30.3,1327093253,188363,70,875568512,5009883
Propuesta Indecente,Caliente! Latino Hitmix 2013,Romeo Santos,1/1/2013,2266,30,751508028,76654,74,2243582425,6525279
Am I Wrong,More Music 2013,Nico & Vinz,1/1/2013,2440,28.9,965827790,160031,71,243060460,2037116
Wagon Wheel,True Believers,Darius Rucker,1/1/2013,2477,28.6,727417273,107826,73,563826762,2402463
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,1/1/2013,2558,28,1460945792,331171,76,224150562,1926122
Young And Beautiful,Music From Baz Luhrmann's Film The Great Gatsby,Lana Del Rey,1/1/2013,2586,27.8,1256488099,158078,80,721653474,5562953
